Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
122,0.00545415391248228,0.003272492347489368,0.0,0.01,0.0,9.81,16.0625,11.25,-53.1875,1744474919.1343
123,0.0,0.039269908169872414,-0.039269908169872414,0.04,0.06,9.790000000000001,16.0625,12.375,-52.0,1744474919.1535997
124,0.002181661564992912,0.061086523819801536,0.04363323129985824,0.14,0.04,9.8,16.0625,12.375,-52.0,1744474919.1735513
125,-0.013089969389957472,0.2083486794568231,-0.044724062082354694,0.04,0.02,9.85,15.6875,11.6875,-51.5625,1744474919.1970887
126,-0.01090830782496456,0.11780972450961724,-0.00545415391248228,-0.19,0.01,9.75,15.6875,11.6875,-51.5625,1744474919.2136955
127,-0.01090830782496456,0.026179938779914945,0.022907446432425576,-0.09,0.02,9.790000000000001,15.6875,11.6875,-51.5625,1744474919.2344348
128,-0.004363323129985824,0.00545415391248228,0.09053895494720585,-0.13,0.02,9.83,16.375,12.0,-52.0,1744474919.2567184
129,-0.002181661564992912,0.0,0.36106498900632694,-0.01,0.05,9.82,16.375,12.0,-52.0,1744474919.274209
130,-0.006544984694978736,-0.004363323129985824,0.459239759431008,0.14,-0.16,9.81,16.0625,11.6875,-51.5625,1744474919.2942488
131,0.001090830782496456,0.003272492347489368,0.0818123086872342,-0.05,0.0,9.790000000000001,16.0625,11.6875,-51.5625,1744474919.3143532
132,0.0,-0.006544984694978736,0.04036073895236887,-0.06,0.0,9.82,16.0625,11.6875,-51.5625,1744474919.3355806
133,0.0,-0.013089969389957472,0.05999569303730508,-0.06,0.01,9.84,17.0625,11.6875,-51.1875,1744474919.3545227
134,0.002181661564992912,-0.017453292519943295,0.19198621771937624,-0.05,0.06,9.77,17.0625,11.6875,-51.1875,1744474919.379692
135,0.004363323129985824,-0.014180800172453928,0.24980024919168842,-0.07,-0.03,9.83,16.75,11.25,-51.5625,1744474919.394551
136,0.002181661564992912,-0.003272492347489368,0.061086523819801536,-0.02,0.0,9.8,16.75,11.25,-51.5625,1744474919.4193656
137,0.0,0.006544984694978736,-0.011999138607461015,0.31,0.02,9.8,17.0625,10.875,-51.1875,1744474919.4400725
138,0.002181661564992912,0.003272492347489368,-0.06654067773228381,0.12,-0.04,9.82,17.0625,10.875,-51.1875,1744474919.4583635
139,0.004363323129985824,0.0,-0.1505346479845109,-0.02,0.0,9.78,17.0625,10.875,-51.1875,1744474919.480095
140,0.002181661564992912,-0.001090830782496456,-0.1407171709420428,0.01,-0.01,9.790000000000001,16.75,10.5625,-51.1875,1744474919.4966817
141,0.003272492347489368,-0.002181661564992912,-0.015271630954950384,0.21,0.1,9.8,16.75,10.5625,-51.1875,1744474919.520345
142,0.002181661564992912,-0.006544984694978736,0.061086523819801536,0.24,-0.15,9.82,16.75,10.5625,-51.1875,1744474919.5377543
143,0.004363323129985824,-0.001090830782496456,-0.19634954084936207,0.4,-0.06,9.790000000000001,17.0625,11.6875,-51.5625,1744474919.560911
144,-0.003272492347489368,-0.015271630954950384,-0.05890486225480862,-0.17,0.04,9.81,17.0625,11.6875,-51.5625,1744474919.5810692
145,-0.002181661564992912,-0.01090830782496456,-0.13962634015954636,0.03,-0.03,9.83,16.75,10.5625,-51.1875,1744474919.6020026
146,0.0,-0.009817477042468103,-0.1559888018969932,0.01,0.06,9.8,16.75,10.5625,-51.1875,1744474919.622001
147,0.0,-0.028361600344907856,-0.08617563181722002,0.31,-0.36,9.83,16.375,9.875,-50.0,1744474919.6417756
148,-0.001090830782496456,0.003272492347489368,-0.18435040224190105,-0.04,-0.18,9.77,16.375,9.875,-50.0,1744474919.661978
149,-0.002181661564992912,-0.022907446432425576,-0.09490227807719166,-0.08,0.27,9.790000000000001,16.375,9.875,-50.0,1744474919.682371
150,0.011999138607461015,-0.0719948316447661,0.07635815477475191,0.14,0.22,9.8,17.0625,10.875,-50.0,1744474919.7027235
151,0.009817477042468103,-0.05235987755982989,0.11780972450961724,-0.02,-0.01,9.8,17.0625,10.875,-50.0,1744474919.72679
152,0.004363323129985824,-0.025089107997418487,0.07635815477475191,-0.3,-0.54,9.83,16.0625,10.1875,-49.1875,1744474919.7419975
153,0.001090830782496456,0.04908738521234052,-0.2923426497090502,0.0,0.04,9.82,16.0625,10.1875,-49.1875,1744474919.762271
154,0.004363323129985824,0.0,-0.20725784867432664,-0.14,0.15,9.790000000000001,16.0625,10.1875,-49.1875,1744474919.78589
155,-0.002181661564992912,0.04254240051736178,-0.15162547876700738,-0.02,0.33,9.83,17.5,9.875,-48.0,1744474919.802332
156,-0.006544984694978736,0.09708393964218458,-0.26616271092913524,0.16,-0.05,9.84,17.5,9.875,-48.0,1744474919.8227544
157,0.003272492347489368,0.050178215994836975,-0.17998707911191522,-0.01,0.05,9.82,17.875,9.875,-48.0,1744474919.8444428
158,0.004363323129985824,0.017453292519943295,-0.18653206380689397,-0.14,-0.12,9.790000000000001,17.875,9.875,-48.0,1744474919.8625054
159,-0.001090830782496456,-0.003272492347489368,-0.0916297857297023,0.11,0.07,9.83,17.875,9.875,-48.0,1744474919.8840387
160,-0.006544984694978736,-0.001090830782496456,-0.0916297857297023,0.21,0.45,9.8,17.5,8.5625,-47.25,1744474919.9082928
161,-0.019634954084936207,-0.04036073895236887,0.1308996938995747,0.25,0.06,9.790000000000001,17.5,8.5625,-47.25,1744474919.9228
162,-0.003272492347489368,-0.04799655442984406,0.13308135546456762,0.02,-0.73,9.83,17.0625,8.25,-46.875,1744474919.9432318
163,0.019634954084936207,-0.00545415391248228,-0.2203478180642841,-0.06,0.09,9.81,17.0625,8.25,-46.875,1744474919.966146
164,-0.00545415391248228,-0.001090830782496456,-0.20507618710933373,-0.28,-0.17,9.8,17.0625,8.25,-46.875,1744474919.9834013
165,-0.003272492347489368,-0.003272492347489368,-0.15162547876700738,-0.42,-0.39,9.81,17.875,8.5625,-47.6875,1744474920.0073946
