Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
338,62.25,-14.75,16,-1.8,1.26,10.37,0,0,0
339,39.125,-20.5,20.625,-1.98,1.6,10.73,0,0,0
340,13.875,-28.4375,21.125,-2.18,1.96,10.41,0,0,0
341,-37.3125,-44.4375,22.375,-1.64,1.38,9.74,0,0,0
342,-60.1875,-42.5,26.0625,-1.01,0.67,9.15,0,0,0
343,-57.9375,-36.375,28.1875,-0.8,0.04,8.76,0,0,0
344,-34,-29.25,35,-1.09,-0.1,8.82,0,0,0
345,-22,-32.8125,39.5625,-0.99,0.04,8.86,0,0,0
346,-9.375,-39.4375,51.4375,-0.61,0.9,9.33,0,0,0
347,-10.625,-40.5625,56,-0.55,0.93,9.63,0,0,0
348,-29.5,-36.125,64.6875,-0.57,1.08,10.07,0,0,0
349,-45.25,-32.75,67.6875,-0.92,0.52,10.11,0,0,0
350,-75,-27.1875,65.5,-1.33,0.02,9.79,0,0,0
351,-95.75,-34.1875,58.5,-0.99,-0.77,9.32,0,0,0
352,-95,-40.0625,55.8125,-0.64,-0.8,9.37,0,0,0
353,-78.375,-52.8125,50.9375,-0.53,-0.62,9.68,0,0,0
354,-74.5,-61.5,50.5625,-0.31,-0.64,9.7,0,0,0
355,-77.5625,-71.25,50.75,-0.03,-1,9.44,0,0,0
356,-84.0625,-71.4375,47.5,0.18,-1.55,8.98,0,0,0
357,-84.625,-68.875,42.6875,0.28,-2.13,8.24,0,0,0
358,-69.625,-54.8125,29.8125,0.9,-2.56,7.58,0,0,0
359,-56.6875,-45.5,25.1875,1.07,-2.55,7.79,0,0,0
360,-42.125,-26.6875,20.8125,0.96,-1.73,9.17,0,0,0
361,-62.25,-18,19.1875,0.59,-1.74,9.35,0,0,0
362,-77.3125,-17.3125,17.4375,0.73,-2.38,8.73,0,0,0
363,-88.625,-19.75,15.875,0.9,-3.14,7.65,0,0,0
364,-55.375,-16.25,20.0625,0.97,-3.19,7.74,0,0,0
365,-33.9375,-14.3125,24,1.22,-2.85,8.41,0,0,0
366,-15.75,-10.125,31.625,0.78,-2.08,9.22,0,0,0
367,-33.5,-16.4375,39.1875,0.62,-2.19,9.09,0,0,0
368,-42.875,-19.75,42.1875,0.76,-2.67,8.43,0,0,0
369,-45.9375,-18.9375,45.5,1.07,-3.51,7.29,0,0,0
370,-27.8125,-5.0625,45.8125,1.26,-3.66,7.27,0,0,0
371,-17.5625,4.875,45.75,1.3,-3.63,7.84,0,0,0
372,-5.875,20.25,47.125,0.95,-3.31,8.5,0,0,0
373,-14.5,16.8125,48.6875,0.79,-3.38,8.71,0,0,0
374,-20.375,13.5625,48.875,0.88,-3.67,8.37,0,0,0
375,-25.625,12.5625,48.25,0.85,-4.42,8.12,0,0,0
376,-25.4375,16.1875,45.875,0.83,-4.63,7.98,0,0,0
