Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
219,0.001090831,0,-0.045814893,-0.26,-0.38,9.39,0,0,0
220,0.001090831,0.001090831,-0.032724923,-0.26,-0.2,9.36,0,0,0
221,-0.001090831,-0.003272492,-0.037088247,-0.41,-0.3,9.37,0,0,0
222,0.002181662,-0.008726646,-0.077448986,-0.22,-0.13,9.39,0,0,0
223,0.002181662,-0.005454154,-0.075267324,-0.22,-0.19,9.41,0,0,0
224,0,-0.001090831,-0.030543262,-0.19,-0.09,9.39,0,0,0
225,0,0.002181662,0.007635815,-0.4,-0.14,9.43,0,0,0
226,0.004363323,-0.003272492,-0.034906585,-0.34,-0.22,9.42,0,0,0
227,0.001090831,-0.005454154,-0.049087385,-0.39,-0.21,9.41,0,0,0
228,0.002181662,-0.011999139,-0.100356432,-0.29,-0.28,9.38,0,0,0
229,0.003272492,-0.006544985,-0.091629786,-0.25,-0.42,9.39,0,0,0
230,-0.001090831,-0.001090831,-0.063268185,-0.26,-0.2,9.41,0,0,0
231,-0.002181662,0.002181662,-0.04145157,-0.32,-0.18,9.39,0,0,0
232,0,0.002181662,-0.034906585,-0.32,-0.12,9.39,0,0,0
233,0.003272492,0.005454154,-0.031634093,-0.25,0,9.42,0,0,0
234,0.001090831,0.003272492,-0.009817477,-0.34,-0.32,9.41,0,0,0
235,0,-0.001090831,0.011999139,-0.3,-0.26,9.39,0,0,0
236,0.002181662,0.001090831,0.007635815,-0.35,-0.35,9.41,0,0,0
237,0.003272492,-0.003272492,-0.052359878,-0.33,-0.32,9.43,0,0,0
238,-0.001090831,-0.001090831,-0.057814031,-0.32,-0.33,9.41,0,0,0
239,0.003272492,0,-0.020725785,-0.33,-0.32,9.4,0,0,0
240,0.001090831,-0.002181662,-0.017453293,-0.31,-0.36,9.4,0,0,0
241,-0.001090831,-0.001090831,-0.026179939,-0.33,-0.35,9.42,0,0,0
242,0.002181662,0,-0.033815754,-0.36,-0.48,9.4,0,0,0
243,0,0,-0.029452431,-0.22,-0.23,9.39,0,0,0
244,-0.004363323,0.005454154,0.007635815,-0.3,-0.28,9.41,0,0,0
245,-0.001090831,0.005454154,0.039269908,-0.34,-0.31,9.4,0,0,0
246,0.001090831,0.001090831,0.022907446,-0.38,-0.41,9.41,0,0,0
247,0.002181662,-0.001090831,-0.015271631,-0.39,-0.37,9.4,0,0,0
248,0.001090831,-0.001090831,-0.062177355,-0.26,-0.1,9.41,0,0,0
249,0.002181662,-0.002181662,-0.063268185,-0.34,-0.36,9.38,0,0,0
250,0.002181662,-0.001090831,-0.049087385,-0.27,-0.26,9.39,0,0,0
251,0.003272492,0.001090831,-0.017453293,-0.29,-0.3,9.4,0,0,0
252,0.002181662,0.007635815,0,-0.37,-0.29,9.41,0,0,0
253,-0.003272492,0.006544985,0.016362462,-0.35,-0.23,9.39,0,0,0
254,0.001090831,0.001090831,0.019634954,-0.33,-0.22,9.38,0,0,0
255,0.002181662,0,-0.008726646,-0.31,-0.36,9.4,0,0,0
256,0.001090831,-0.003272492,-0.009817477,-0.3,-0.35,9.42,0,0,0
257,0,0,0.005454154,-0.43,-0.4,9.4,0,0,0
