Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G),Timestamp
262,0.06981317,0.213802833,-0.088357293,-1.04,0.3,10.86,0,0,0,1743569202.3107653
263,0.189804556,0.002181662,-0.09817477,-1.28,0.24,9.9,0,0,0,1743569202.325553
264,0.157079633,-0.354520004,-0.04145157,-1.1,0.42,9.4,0,0,0,1743569202.3383772
265,0.088357293,-0.400334897,-0.021816616,-1.21,0.53,9.26,0,0,0,1743569202.354197
266,-0.071994832,-0.253072742,0.136353848,-1.04,0.66,9.36,0,0,0,1743569202.3670194
267,-0.076358155,-0.099265601,0.146171325,-1.47,0.31,9.81,0,0,0,1743569202.3798347
268,-0.079630647,0.003272492,0.164715448,-1.56,0.16,9.91,0,0,0,1743569202.3926659
269,-0.124354709,-0.053450708,0.107992247,-1.68,0.43,9.7,0,0,0,1743569202.406224
270,-0.164715448,-0.093811447,0.130899694,-1.77,0.4,9.17,0,0,0,1743569202.420263
271,-0.158170463,-0.176714587,0.187622895,-1.48,0.57,8.87,0,0,0,1743569202.4330823
272,-0.092720617,-0.078539816,0.206167018,-1.96,0.11,9.18,0,0,0,1743569202.4461644
273,-0.13962634,-0.086175632,0.191986218,-1.84,0.11,9.19,0,0,0,1743569202.4602187
274,-0.140717171,-0.011999139,0.127627202,-2.07,0.02,9.27,0,0,0,1743569202.4753294
275,-0.08399397,-0.092720617,0.109083078,-1.91,-0.16,8.87,0,0,0,1743569202.4881535
276,-0.076358155,-0.107992247,0.093811447,-1.67,-0.11,9.02,0,0,0,1743569202.5036027
277,0.034906585,0.010908308,0.007635815,-1.43,0.15,9.6,0,0,0,1743569202.5166235
